file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19970409_1430_14.72.fits,14.72,"(2048, 15000)",Loral1,217.503139423,33.0071231665,148.372673442,20.3159887228,2450547.84887,30720.0,-33.15
19970414_1140_14.72.fits,14.72,"(2048, 15000)",Loral1,174.99914471,33.0011937997,148.372883184,20.3159887228,2450552.71745,30720.0,-33.15
19970414_1720_14.72.fits,14.72,"(2048, 15000)",Loral1,259.99899518,33.0174236552,148.372883184,20.3159887228,2450552.95295,30720.0,-33.15
19970410_1350_14.72.fits,14.72,"(2048, 15000)",Loral1,207.499098922,33.0054399007,148.374980503,20.3150304214,2450548.81842,30720.0,-33.15
19970408_1020_14.72.fits,14.72,"(2048, 15000)",Loral1,154.998975438,33.0050609853,148.372883159,20.3150304214,2450546.67842,30720.0,-33.15
19970603_1400_14.72.fits,14.72,"(2048, 15000)",Loral1,209.998986508,33.000072151,148.3730929,20.3159887228,2450602.67791,30720.0,-33.15
19970603_1610_14.72.fits,14.72,"(2048, 15000)",Loral1,242.49912652,33.0073812133,148.372883159,20.3159887228,2450602.76796,30720.0,-33.15
19970414_1120_14.72.fits,14.72,"(2048, 15000)",Loral1,169.999011057,33.0011557273,148.372883184,20.3159887228,2450552.7036,30720.0,-33.15
19970603_1640_14.72.fits,14.72,"(2048, 15000)",Loral1,249.999127443,33.0094928539,148.372883159,20.3159887228,2450602.78873,30720.0,-33.15
19970414_1030_14.72.fits,14.72,"(2048, 15000)",Loral1,157.499126042,33.0016098687,148.374770761,20.3159887228,2450552.66897,30720.0,-33.15
19970409_1520_14.72.fits,14.72,"(2048, 15000)",Loral1,230.003263312,33.0099822806,148.374980503,20.3159887228,2450547.8835,30720.0,-33.15
19970414_1110_14.72.fits,14.72,"(2048, 15000)",Loral1,167.499063122,33.0011839448,148.3730929,20.3159887228,2450552.69667,30720.0,-33.15
19970409_1240_14.72.fits,14.72,"(2048, 15000)",Loral1,190.003153094,33.0028564013,148.372673442,20.3159887228,2450547.77268,30720.0,-33.15
19970414_1210_14.72.fits,14.72,"(2048, 15000)",Loral1,182.499099563,33.0014861897,148.372883184,20.3159887228,2450552.73824,30720.0,-33.15
19970410_1640_14.72.fits,14.72,"(2048, 15000)",Loral1,250.003246823,33.015555082,148.374980503,20.3150304214,2450548.93618,30720.0,-33.15
19970603_1750_14.72.fits,14.72,"(2048, 15000)",Loral1,267.503169598,33.0146955075,148.374980503,20.3159887228,2450602.83723,30720.0,-33.15
19970603_1540_14.72.fits,14.72,"(2048, 15000)",Loral1,234.998964547,33.0053929282,148.3730929,20.3159887228,2450602.74718,30720.0,-33.15
19970414_1550_14.72.fits,14.72,"(2048, 15000)",Loral1,237.499148395,33.0111100499,148.374770761,20.3159887228,2450552.89062,30720.0,-33.15
19970603_1440_14.72.fits,14.72,"(2048, 15000)",Loral1,220.003249715,33.0019208753,148.372883184,20.3159887228,2450602.70563,30720.0,-33.15
19970408_1240_14.72.fits,14.72,"(2048, 15000)",Loral1,189.999107905,33.0054040397,148.374980503,20.3150304214,2450546.7754,30720.0,-33.15
19970414_1610_14.72.fits,14.72,"(2048, 15000)",Loral1,242.49909907,33.0124586094,148.372883184,20.3159887228,2450552.90447,30720.0,-33.15
